created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Sun Nov 12 15:07:37 +0000 2023,1.72371920269386E+018,"Sama. Ada pendukung garis keras Jokowi akhirnya Golput. Gile apa, dulu saya sampai dia hina sekarang ngajak ngajak kumpul,ogaaaah...""  Kalau Ganjar? ""Sy gak sreg sama PDIP"". Kalau Anies? ""Wuahahaha"" -- Tampaknya melon sdh mulai berhitung. Mulai bermunculan, kesiangan ðŸ™„ðŸ˜´ðŸ˜´ðŸ˜´ðŸ˜´ https://t.co/g9f6MvY7nb""",0,2,0,5,in,1.27006120740436E+018,1.72371920269386E+018,rahmani_ima,https://twitter.com/rahmani_ima/status/1723719202693865646
Sun Nov 12 15:07:29 +0000 2023,1.72371917013347E+018,@PUTRY_NUSANTARA Udahlah... Kalian pendukung ganjar dan anies sadar dirilah... Pertarungan kalian itu sangat berat sekali... Krn lawan kalian itu King Of The King .. Yg punya kuasa atas ribuan anbu konoha... Berat sangat berat... Yg kalian lawan itu seorang hokage... Punya senjata rahasia kurama,0,0,0,0,in,29597162,1.72369618212669E+018,metha_diwangga,https://twitter.com/metha_diwangga/status/1723719170133475614
Sun Nov 12 15:07:07 +0000 2023,1.723719074667E+018,"@PDI_Perjuangan Tetap semangat bu, jgn sampe kecolongan gara gara Anies bisa ambil celah dari isu ini. Jgn sampe lengah.",0,0,0,0,in,791899609,1.72360608359041E+018,ilham_madani,https://twitter.com/ilham_madani/status/1723719074667004398
Sun Nov 12 15:07:05 +0000 2023,1.72371906717621E+018,"@G0P4NK_G0P4NG_7 Saya mau tdr, jadi perlu yg lucu2 dari komen2 fans Anies ðŸ¤£",0,1,0,2,in,9.31419055549906E+017,1.72371537019507E+018,Hasbil_Lbs,https://twitter.com/Hasbil_Lbs/status/1723719067176210898
Sun Nov 12 15:06:17 +0000 2023,1.72371886524138E+018,@Hasbil_Lbs Ya klo narasi kau begini siapa yg mau milih..  Pdhl dapil anda pasti ada yg pilih anies juga..  Liat tweet anda mereka bs g respect..  D tempat sy caleg2 g ada yg nyinggung2 pilpres fokus pencalegan,0,1,1,3,in,3255789200,1.72367976128389E+018,7cb7751dfec5439,https://twitter.com/7cb7751dfec5439/status/1723718865241387077
Sun Nov 12 15:06:00 +0000 2023,1.72371879544397E+018,@mediaindonesia Anies Imin akan melakukan banyak perubahan positif dalam menghadapi berbagai tantangan,0,0,0,0,in,1.72325565236426E+018,1.72331464789656E+018,Rayanzaa1,https://twitter.com/Rayanzaa1/status/1723718795443978558
Sun Nov 12 15:05:44 +0000 2023,1.72371872690469E+018,@adriansyahyasin Jakarta setelah anies malah downgrade ðŸ˜…,0,0,0,0,in,615809840,1.72365623699722E+018,KuePukisHaneut,https://twitter.com/KuePukisHaneut/status/1723718726904696977
Sun Nov 12 15:05:05 +0000 2023,1.72371856543231E+018,Tebak2an no urut yuk pasangan Anies Baswedan dan Muhaimin Iskandar. (Khusus Pendukung Amin),0,0,1,0,in,1.14446018028686E+018,1.7237173316359E+018,yunaidi_indra,https://twitter.com/yunaidi_indra/status/1723718565432312019
Sun Nov 12 15:04:50 +0000 2023,1.72371850203146E+018,@PDemokrat Anies Baswedan mendukung upaya menuju solusi adil dalam konflik Israel -Palestina dengan tulus,0,0,0,0,in,1.72325565236426E+018,1.72362827834132E+018,Rayanzaa1,https://twitter.com/Rayanzaa1/status/1723718502031466499
Sun Nov 12 15:04:49 +0000 2023,1.72371849849985E+018,"Belum lagi pake bahasa arab, ma Amerika Latin, plus terakhir Perdana Menteri Malaysia...  kalian kalau minta support, jangan kayak gini... udah pake mistis n pelet, ini pula...",0,0,0,0,in,1229223853,1.72371849849985E+018,Andriamuis,https://twitter.com/Andriamuis/status/1723718498499854355
Sun Nov 12 15:04:41 +0000 2023,1.72371846183741E+018,@detikcom Mau satu atau dua putaran yg penting Pak Anies menang Aamiin,0,0,0,0,in,14978889,1.72370847587462E+018,deenalovemuse,https://twitter.com/deenalovemuse/status/1723718461837414863
Sun Nov 12 15:04:31 +0000 2023,1.72371842063263E+018,"hanya sekitar seminggu, pasca-penutupan pendaftaran capres-cawapres di KPU, 25 Oktober 2023.   Prabowo dan Anies masing-masing menguat sekitar 2-3%, sementara Ganjar tampak menyusut hingga sekitar 8%.",0,1,0,0,in,1.68992532780256E+018,1.72371833101709E+018,NurirmaJ93483,https://twitter.com/NurirmaJ93483/status/1723718420632637815
Sun Nov 12 15:04:25 +0000 2023,1.72371839433437E+018,"Dengan demikian, dapat disimpulkan bahwa Prabowo unggul dari Ganjar dan Anies. Serta, berdasarkan tren 3 nama Capres mengemuka tersebut nampak perubahan yang besar terjadi dalam periode waktu yang sangat singkat,",0,1,0,0,in,1.68992532780256E+018,1.72371833101709E+018,NurirmaJ93483,https://twitter.com/NurirmaJ93483/status/1723718394334371928
Sun Nov 12 15:04:20 +0000 2023,1.72371837557325E+018,"â€œJika pemilihan presiden diadakan sekarang, siapa yang akan Bapak/Ibu pilih sebagai Presiden? Prabowo unggul hingga 40,6%, disusul Ganjar 27,8% kemudian Anies 23,7%. Serta, 7,9% yang tidak tahu atau tidak jawab.â€ papar Burhanuddin",0,1,0,0,in,1.68992532780256E+018,1.72371833101709E+018,NurirmaJ93483,https://twitter.com/NurirmaJ93483/status/1723718375573250475
Sun Nov 12 15:03:31 +0000 2023,1.72371816916734E+018,"@rizkidwika udah bagus pak anies, yg skrng bikin jakarta mengalami degradasi",0,0,1,0,in,2898061285,1.72366736979991E+018,al_akbar16,https://twitter.com/al_akbar16/status/1723718169167343647
Sun Nov 12 15:03:11 +0000 2023,1.72371808748319E+018,"Saya tuh bingung saja, nggak follow ini, tapi tiba2 follow ini...  Kalian yang memfollow ini, ngerti nggak bahasanya ? kalau seperti ini, kalau kita jadinya curiga ke odong2 adalah hal lumrah... kalau ngerti bahasanya nggak masalah..",0,0,0,0,in,1229223853,1.72371808748319E+018,Andriamuis,https://twitter.com/Andriamuis/status/1723718087483195884
Sun Nov 12 15:02:28 +0000 2023,1.72371790616343E+018,Betapa Antusias masyarakat lombok kpd Anies https://t.co/5W7VM0SYsf,0,0,0,0,in,2732533614,1.72371790616343E+018,aceravata,https://twitter.com/aceravata/status/1723717906163438001
Sun Nov 12 15:01:56 +0000 2023,1.72371777290602E+018,@NurGyanNawasena Coba tanya Anies...  #Ngik,0,1,0,1,in,257090687,1.72326106649345E+018,HumorJonTampan,https://twitter.com/HumorJonTampan/status/1723717772906029215
Sun Nov 12 15:01:32 +0000 2023,1.72371766927345E+018,@mediaindonesia Yuk bersama dukung Anies Baswedan n Imin yang insyaallah jujur dan adil,0,0,0,0,in,1.72321726287699E+018,1.72331464789656E+018,katarinabluyy,https://twitter.com/katarinabluyy/status/1723717669273457089
Sun Nov 12 15:01:30 +0000 2023,1.72371766328807E+018,@rintocw @PetrusRadison @gm_gm @goenawanmohamad @jokowi Terus Pak Jokowi Jadi Presiden hasil dari pemilu yang Jurdil dong ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£,0,0,0,0,in,4780916052,1.72332017795643E+018,CahKeren212,https://twitter.com/CahKeren212/status/1723717663288074378
Sun Nov 12 15:01:16 +0000 2023,1.72371760167802E+018,@mediaindonesia Anies Imin adalah pemimpin yang berdedikasi dan memiliki visi yang jelas untuk Indonesia.,0,0,0,0,in,1.72296732883563E+018,1.72331464789656E+018,Sebastiannyxz,https://twitter.com/Sebastiannyxz/status/1723717601678024827
Sun Nov 12 15:01:12 +0000 2023,1.72371758768997E+018,"@mediaindonesia Bicara kecerdasan cuma pak anies deh yg punya,sosok pemimpin yg menguasai segala skill dlm memimpin negara.",0,0,0,0,in,1.71510006629625E+018,1.72331464789656E+018,AdalynnL17905,https://twitter.com/AdalynnL17905/status/1723717587689971992
Sun Nov 12 15:01:12 +0000 2023,1.72371758565577E+018,"@PartaiSocmed mana bahan serangannya basi. Prabowo tentang HAM, Anies tentang politik identitas nya",0,0,0,0,in,1.12756106301933E+018,1.72370604379515E+018,ipul_ipulll,https://twitter.com/ipul_ipulll/status/1723717585655779412
Sun Nov 12 15:01:10 +0000 2023,1.72371757785413E+018,@PetrusRadison @gm_gm @goenawanmohamad Terus Pak Jokowi Jadi Presiden hasil dari pemilu yang Jurdil dong ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£,0,0,0,0,in,4780916052,1.72332017795643E+018,CahKeren212,https://twitter.com/CahKeren212/status/1723717577854136554
Sun Nov 12 15:01:05 +0000 2023,1.72371755798172E+018,@PDemokrat With Anies imin untuk maju mendukung Palestina,0,0,0,0,in,1.72321726287699E+018,1.72362827834132E+018,katarinabluyy,https://twitter.com/katarinabluyy/status/1723717557981724857
Sun Nov 12 15:00:54 +0000 2023,1.72371751111433E+018,Betapa Antusias masyarakat lombok kpd Anies https://t.co/5W7VM0SqCH,0,0,0,0,in,2732533614,1.72371751111433E+018,aceravata,https://twitter.com/aceravata/status/1723717511114338401
Sun Nov 12 15:00:50 +0000 2023,1.72371749388441E+018,@hasyimmah Otakmu ga nyampe dlm memahami pemaparan yg di sampaikan pak Anies,0,0,0,0,in,395198388,1.72352157176633E+018,adyhuco,https://twitter.com/adyhuco/status/1723717493884412337
Sun Nov 12 15:00:20 +0000 2023,1.72371736784951E+018,"@PDemokrat Anies  selalu  memprioritaskan untuk mengakhiri konflik Israel-Palestina."";0;0;0;0;in;1722967328835637248;1723628278341325158;Sebastiannyxz;https://twitter.com/Sebastiannyxz/status/1723717367849513025
Sun Nov 12 15:00:16 +0000 2023;1723717352280469824;hanya sekitar seminggu, pasca-penutupan pendaftaran capres-cawapres di KPU, 25 Oktober 2023.   Prabowo dan Anies masing-masing menguat sekitar 2-3%, sementara Ganjar tampak menyusut hingga sekitar 8%.""",0,1,0,0,in,1.68991837321866E+018,1.72371728813275E+018,NurIrma98882,https://twitter.com/NurIrma98882/status/1723717352280469824
Sun Nov 12 15:00:13 +0000 2023,1.72371733921522E+018,@mediaindonesia Gak diragukan lagi Anies- Imin pasti sukses,0,0,0,0,in,1.72321766053476E+018,1.72331464789656E+018,Ikarw132003,https://twitter.com/Ikarw132003/status/1723717339215220815
Sun Nov 12 15:00:12 +0000 2023,1.72371733352774E+018,"Dengan demikian, dapat disimpulkan bahwa Prabowo unggul dari Ganjar dan Anies. Serta, berdasarkan tren 3 nama Capres mengemuka tersebut nampak perubahan yang besar terjadi dalam periode waktu yang sangat singkat,",0,1,0,0,in,1.68991837321866E+018,1.72371728813275E+018,NurIrma98882,https://twitter.com/NurIrma98882/status/1723717333527744836
Sun Nov 12 15:00:10 +0000 2023,1.72371732712302E+018,"â€œJika pemilihan presiden diadakan sekarang, siapa yang akan Bapak/Ibu pilih sebagai Presiden? Prabowo unggul hingga 40,6%, disusul Ganjar 27,8% kemudian Anies 23,7%. Serta, 7,9% yang tidak tahu atau tidak jawab.â€ papar Burhanuddin",0,1,0,0,in,1.68991837321866E+018,1.72371728813275E+018,NurIrma98882,https://twitter.com/NurIrma98882/status/1723717327123026422
Sun Nov 12 15:00:02 +0000 2023,1.72371729140857E+018,Anies Baswedan Tak Gentar Tim Kampanye Dua Capres Lain Didominasi Pengusaha  https://t.co/6eKryW3wpH,0,0,0,0,in,8.53782937782714E+017,1.72371729140857E+018,radaraktual,https://twitter.com/radaraktual/status/1723717291408576923
Sun Nov 12 14:59:54 +0000 2023,1.72371725967E+018,"@adriansyahyasin 2 gub DKI terakhir ahok anies, masa lanjutannya yg model beginian, yg bener aja lahðŸ¤£",0,0,0,0,in,233080443,1.72365623699722E+018,adamxadamm,https://twitter.com/adamxadamm/status/1723717259670003841
